fiscal_year,state,category,percentage,unit
2024-25,Andaman and Nicobar Islands,General,2.70,
2024-25,Andhra Pradesh,General,4.40,
2024-25,Assam,General,5.10,
2024-25,Bihar,General,6.00,
2024-25,Chandigarh,General,4.30,
2024-25,Chhattisgarh,General,5.80,
2024-25,Dadra and Nagar Haveli,General,4.80,
2024-25,Daman and Diu,General,4.90,
2024-25,Delhi,General,2.40,
2024-25,Goa,General,3.50,
2024-25,Gujarat,General,4.40,
2024-25,Haryana,General,5.20,
2024-25,Himachal Pradesh,General,4.00,
2024-25,Jammu and Kashmir,General,4.50,
2024-25,Jharkhand,General,3.80,
2024-25,Karnataka,General,4.90,
2024-25,Kerala,General,5.90,
2024-25,Lakshadweep,General,3.00,
2024-25,Madhya Pradesh,General,4.70,
2024-25,Maharashtra,General,4.10,
2024-25,Manipur,General,6.50,
2024-25,Meghalaya,General,4.00,
2024-25,Mizoram,General,3.40,
2024-25,Nagaland,General,4.00,
2024-25,Odisha,General,6.00,
2024-25,Puducherry,General,4.70,
2024-25,Punjab,General,4.20,
2024-25,Rajasthan,General,4.30,
2024-25,Sikkim,General,2.50,
2024-25,Tamil Nadu,General,4.70,
2024-25,Telangana,General,3.70,
2024-25,Tripura,General,4.60,
2024-25,Uttar Pradesh,General,5.30,
2024-25,Uttarakhand,General,4.20,
2024-25,West Bengal,General,3.90,
2024-25,ALL INDIA,General,4.60,
2024-25,Andaman and Nicobar Islands,Food and Beverages,4.50,
2024-25,Andhra Pradesh,Food and Beverages,5.80,
2024-25,Assam,Food and Beverages,6.70,
2024-25,Bihar,Food and Beverages,8.50,
2024-25,Chandigarh,Food and Beverages,6.20,
2024-25,Chhattisgarh,Food and Beverages,9.50,
2024-25,Dadra and Nagar Haveli,Food and Beverages,6.10,
2024-25,Daman and Diu,Food and Beverages,6.70,
2024-25,Delhi,Food and Beverages,5.50,
2024-25,Goa,Food and Beverages,5.40,
2024-25,Gujarat,Food and Beverages,6.00,
2024-25,Haryana,Food and Beverages,6.80,
2024-25,Himachal Pradesh,Food and Beverages,5.40,
2024-25,Jammu and Kashmir,Food and Beverages,5.50,
2024-25,Jharkhand,Food and Beverages,6.50,
2024-25,Karnataka,Food and Beverages,6.80,
2024-25,Kerala,Food and Beverages,8.20,
2024-25,Lakshadweep,Food and Beverages,0.90,
2024-25,Madhya Pradesh,Food and Beverages,7.10,
2024-25,Maharashtra,Food and Beverages,6.50,
2024-25,Manipur,Food and Beverages,9.20,
2024-25,Meghalaya,Food and Beverages,5.90,
2024-25,Mizoram,Food and Beverages,4.30,
2024-25,Nagaland,Food and Beverages,7.30,
2024-25,Odisha,Food and Beverages,8.70,
2024-25,Puducherry,Food and Beverages,5.90,
2024-25,Punjab,Food and Beverages,6.10,
2024-25,Rajasthan,Food and Beverages,5.50,
2024-25,Sikkim,Food and Beverages,4.60,
2024-25,Tamil Nadu,Food and Beverages,6.60,
2024-25,Telangana,Food and Beverages,5.10,
2024-25,Tripura,Food and Beverages,4.20,
2024-25,Uttar Pradesh,Food and Beverages,7.90,
2024-25,Uttarakhand,Food and Beverages,4.80,
2024-25,West Bengal,Food and Beverages,5.90,
2024-25,ALL INDIA,Food and Beverages,6.70,
