fiscal_year,month,state,district_as_per_source,district_as_per_lgd,district_lgd_code,volume,units,notes
2026-27,May,Andaman and Nicobar Islands,Nicobars,Nicobars,603.0,0.004,volume in millions,
2026-27,May,Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman,632.0,0.011,volume in millions,
2026-27,May,Andaman and Nicobar Islands,South Andaman,South Andamans,602.0,0.077,volume in millions,
2026-27,May,Andhra Pradesh,Chittoor,Chittoor,503.0,1.451,volume in millions,
2026-27,May,Andhra Pradesh,East Godavari,East Godavari,505.0,1.146,volume in millions,
2026-27,May,Andhra Pradesh,Guntur,Guntur,506.0,1.077,volume in millions,
2026-27,May,Andhra Pradesh,Krishna,Krishna,510.0,1.215,volume in millions,
2026-27,May,Andhra Pradesh,Others,,,4.766,volume in millions,
2026-27,May,Andhra Pradesh,Visakhapatnam,Visakhapatnam,520.0,1.498,volume in millions,
2026-27,May,Arunachal Pradesh,East Siang,East Siang,232.0,0.019,volume in millions,
2026-27,May,Arunachal Pradesh,Lohit,Lohit,234.0,0.027,volume in millions,
2026-27,May,Arunachal Pradesh,Lower Subansiri,Lower Subansiri,236.0,0.025,volume in millions,
2026-27,May,Arunachal Pradesh,Others,,,0.075,volume in millions,
2026-27,May,Arunachal Pradesh,Papum Pare,Papum Pare,237.0,0.11,volume in millions,
2026-27,May,Arunachal Pradesh,Upper Subansiri,Upper Subansiri,241.0,0.018,volume in millions,
2026-27,May,Assam,Cachar,Cachar,282.0,0.326,volume in millions,
2026-27,May,Assam,Dibrugarh,Dibrugarh,286.0,0.308,volume in millions,
2026-27,May,Assam,Kamrup,Kamrup,291.0,1.282,volume in millions,
2026-27,May,Assam,Nagaon,Nagaon,297.0,0.499,volume in millions,
2026-27,May,Assam,Others,,,3.024,volume in millions,
2026-27,May,Assam,Sonitpur,Sonitpur,301.0,0.348,volume in millions,
2026-27,May,Bihar,Muzaffarpur,Muzaffarpur,208.0,0.54,volume in millions,
2026-27,May,Bihar,Others,,,6.903,volume in millions,
2026-27,May,Bihar,Patna,Patna,212.0,1.687,volume in millions,
2026-27,May,Bihar,Saran,Saran,218.0,0.459,volume in millions,
2026-27,May,Bihar,Vaishali,Vaishali,224.0,0.46,volume in millions,
2026-27,May,Bihar,West Champaran,Pashchim Champaran,211.0,0.471,volume in millions,
2026-27,May,Chandigarh,Bastanar,,,0.0,volume in millions,
2026-27,May,Chandigarh,Chandigarh,Chandigarh,44.0,0.614,volume in millions,
2026-27,May,Chhattisgarh,Bilaspur,Bilaspur,375.0,0.486,volume in millions,
2026-27,May,Chhattisgarh,Durg,Durg,378.0,0.952,volume in millions,
2026-27,May,Chhattisgarh,Others,,,1.86,volume in millions,
2026-27,May,Chhattisgarh,Raipur,Raipur,387.0,1.24,volume in millions,
2026-27,May,Chhattisgarh,Rajnandgaon,Rajnandgaon,388.0,0.317,volume in millions,
2026-27,May,Chhattisgarh,Surguja,Surguja,389.0,0.31,volume in millions,
2026-27,May,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,465.0,0.246,volume in millions,
2026-27,May,Dadra and Nagar Haveli,Korba,,,0.0,volume in millions,
2026-27,May,Daman and Diu,Daman,Daman,463.0,0.155,volume in millions,
2026-27,May,Daman and Diu,Diu,Diu,464.0,0.014,volume in millions,
2026-27,May,Delhi,East Delhi,East Delhi,78.0,1.231,volume in millions,
2026-27,May,Delhi,North West Delhi,North West Delhi,82.0,1.416,volume in millions,
2026-27,May,Delhi,Others,,,1.652,volume in millions,
2026-27,May,Delhi,South Delhi,South Delhi,83.0,1.329,volume in millions,
2026-27,May,Delhi,South West Delhi,South West Delhi,84.0,1.482,volume in millions,
2026-27,May,Delhi,West Delhi,West Delhi,85.0,1.322,volume in millions,
2026-27,May,Goa,Moira,,,0.001,volume in millions,
2026-27,May,Goa,North Goa,North Goa,551.0,0.595,volume in millions,
2026-27,May,Goa,Panaji,,,0.001,volume in millions,
2026-27,May,Goa,Panjim,,,0.001,volume in millions,
2026-27,May,Goa,South Goa,South Goa,552.0,0.492,volume in millions,
2026-27,May,Gujarat,Ahmedabad,Ahmedabad,438.0,2.577,volume in millions,
2026-27,May,Gujarat,Others,,,6.728,volume in millions,
2026-27,May,Gujarat,Rajkot,Rajkot,457.0,0.985,volume in millions,
2026-27,May,Gujarat,Surat,Surat,459.0,2.659,volume in millions,
2026-27,May,Gujarat,Vadodara,Vadodara,461.0,1.437,volume in millions,
2026-27,May,Gujarat,Valsad,Valsad,462.0,0.681,volume in millions,
2026-27,May,Haryana,Ambala,Ambala,58.0,0.401,volume in millions,
2026-27,May,Haryana,Faridabad,Faridabad,60.0,1.13,volume in millions,
2026-27,May,Haryana,Gurgaon,Gurugram,62.0,1.711,volume in millions,
2026-27,May,Haryana,Karnal,Karnal,67.0,0.339,volume in millions,
2026-27,May,Haryana,Others,,,2.992,volume in millions,
2026-27,May,Haryana,Sonipat,Sonipat,75.0,0.375,volume in millions,
2026-27,May,Himachal Pradesh,Kangra,Kangra,18.0,0.379,volume in millions,
2026-27,May,Himachal Pradesh,Mandi,Mandi,22.0,0.143,volume in millions,
2026-27,May,Himachal Pradesh,Others,,,0.531,volume in millions,
2026-27,May,Himachal Pradesh,Shimla,Shimla,23.0,0.214,volume in millions,
2026-27,May,Himachal Pradesh,Solan,Solan,25.0,0.412,volume in millions,
2026-27,May,Himachal Pradesh,Una,Una,26.0,0.136,volume in millions,
2026-27,May,Jammu and Kashmir,Anantnag,Anantnag,1.0,0.168,volume in millions,
2026-27,May,Jammu and Kashmir,Jammu,Jammu,5.0,0.8,volume in millions,
2026-27,May,Jammu and Kashmir,Kathua,Kathua,7.0,0.163,volume in millions,
2026-27,May,Jammu and Kashmir,Others,,,0.777,volume in millions,
2026-27,May,Jammu and Kashmir,Srinagar,Srinagar,13.0,0.283,volume in millions,
2026-27,May,Jammu and Kashmir,Udhampur,Udhampur,14.0,0.183,volume in millions,
2026-27,May,Jharkhand,Bokaro,Bokaro,322.0,0.321,volume in millions,
2026-27,May,Jharkhand,Dhanbad,Dhanbad,325.0,0.521,volume in millions,
2026-27,May,Jharkhand,East Singhbhum,East Singhbum,327.0,0.719,volume in millions,
2026-27,May,Jharkhand,Others,,,1.727,volume in millions,
2026-27,May,Jharkhand,Ranchi,Ranchi,339.0,0.876,volume in millions,
2026-27,May,Jharkhand,West Singhbhum,West Singhbhum,343.0,0.234,volume in millions,
2026-27,May,Karnataka,Bangalore,,,6.771,volume in millions,
2026-27,May,Karnataka,Bangalore Rural,Bengaluru Rural,526.0,1.186,volume in millions,
2026-27,May,Karnataka,Belgaum,Belagavi,527.0,1.632,volume in millions,
2026-27,May,Karnataka,Dakshina Kannada,Dakshina Kannada,534.0,0.919,volume in millions,
2026-27,May,Karnataka,Mysore,Mysuru,545.0,1.317,volume in millions,
2026-27,May,Karnataka,Others,,,11.716,volume in millions,
2026-27,May,Kerala,Ernakulam,Ernakulam,555.0,2.218,volume in millions,
2026-27,May,Kerala,Kollam,Kollam,559.0,1.959,volume in millions,
2026-27,May,Kerala,Malappuram,Malappuram,562.0,1.813,volume in millions,
2026-27,May,Kerala,Others,,,8.505,volume in millions,
2026-27,May,Kerala,Thiruvananthapuram,Thiruvananthapuram,565.0,2.257,volume in millions,
