fiscal_year,quarter,service_area,region,type_of_connection,value,unit,note
2025-26,Q4,West Bengal,Rural,Narrowband,0.29,value in Millions,
2025-26,Q4,West Bengal,Urban,Narrowband,0.38,value in Millions,
2025-26,Q4,West Bengal,Rural,Broadband,28.08,value in Millions,
2025-26,Q4,West Bengal,Urban,Broadband,40.37,value in Millions,
2025-26,Q4,West Bengal,Rural,Total,28.37,value in Millions,
2025-26,Q4,West Bengal,Urban,Total,40.74,value in Millions,
2025-26,Q4,Uttarakhand,Rural,Narrowband,0.08,value in Millions,
2025-26,Q4,Uttarakhand,Urban,Narrowband,0.05,value in Millions,
2025-26,Q4,Uttarakhand,Rural,Broadband,4.76,value in Millions,
2025-26,Q4,Uttarakhand,Urban,Broadband,5.6,value in Millions,
2025-26,Q4,Uttarakhand,Rural,Total,4.84,value in Millions,
2025-26,Q4,Uttarakhand,Urban,Total,5.64,value in Millions,
2025-26,Q4,Uttar Pradesh East and West,Rural,Narrowband,1.14,value in Millions,
2025-26,Q4,Uttar Pradesh East and West,Urban,Narrowband,1.74,value in Millions,
2025-26,Q4,Uttar Pradesh East and West,Rural,Broadband,70.36,value in Millions,
2025-26,Q4,Uttar Pradesh East and West,Urban,Broadband,79.43,value in Millions,
2025-26,Q4,Uttar Pradesh East and West,Rural,Total,71.5,value in Millions,
2025-26,Q4,Uttar Pradesh East and West,Urban,Total,81.17,value in Millions,
2025-26,Q4,Tripura,Rural,Narrowband,0.01,value in Millions,
2025-26,Q4,Tripura,Urban,Narrowband,0.01,value in Millions,
2025-26,Q4,Tripura,Rural,Broadband,1.36,value in Millions,
2025-26,Q4,Tripura,Urban,Broadband,1.5,value in Millions,
2025-26,Q4,Tripura,Rural,Total,1.36,value in Millions,
2025-26,Q4,Tripura,Urban,Total,1.51,value in Millions,
2025-26,Q4,Total,Rural,Narrowband,6.12,value in Millions,
2025-26,Q4,Total,Urban,Narrowband,20.79,value in Millions,
2025-26,Q4,Total,Rural,Broadband,434.75,value in Millions,
2025-26,Q4,Total,Urban,Broadband,631.13,value in Millions,
2025-26,Q4,Total,Rural,Total,440.87,value in Millions,
2025-26,Q4,Total,Urban,Total,651.93,value in Millions,
2025-26,Q4,Telangana,Rural,Narrowband,0.17,value in Millions,
2025-26,Q4,Telangana,Urban,Narrowband,0.36,value in Millions,
2025-26,Q4,Telangana,Rural,Broadband,13.22,value in Millions,
2025-26,Q4,Telangana,Urban,Broadband,23.91,value in Millions,
2025-26,Q4,Telangana,Rural,Total,13.39,value in Millions,
2025-26,Q4,Telangana,Urban,Total,24.27,value in Millions,
2025-26,Q4,Tamil Nadu,Rural,Narrowband,0.37,value in Millions,
2025-26,Q4,Tamil Nadu,Urban,Narrowband,1.43,value in Millions,
2025-26,Q4,Tamil Nadu,Rural,Broadband,19.56,value in Millions,
2025-26,Q4,Tamil Nadu,Urban,Broadband,46.37,value in Millions,
2025-26,Q4,Tamil Nadu,Rural,Total,19.93,value in Millions,
2025-26,Q4,Tamil Nadu,Urban,Total,47.8,value in Millions,
