year,month,state,gender,value,unit,note
2036,October,West Bengal,Total,103020,value in Thousands,
2036,October,West Bengal,Male,52106,value in Thousands,
2036,October,West Bengal,Female,50914,value in Thousands,
2036,October,Uttarakhand,Total,13027,value in Thousands,
2036,October,Uttarakhand,Male,6693,value in Thousands,
2036,October,Uttarakhand,Female,6334,value in Thousands,
2036,October,Uttar Pradesh,Total,259810,value in Thousands,
2036,October,Uttar Pradesh,Male,134503,value in Thousands,
2036,October,Uttar Pradesh,Female,125307,value in Thousands,
2036,October,Tripura,Total,4578,value in Thousands,
2036,October,Tripura,Male,2312,value in Thousands,
2036,October,Tripura,Female,2266,value in Thousands,
2036,October,Telangana,Total,39493,value in Thousands,
2036,October,Telangana,Male,19781,value in Thousands,
2036,October,Telangana,Female,19712,value in Thousands,
2036,October,Tamil Nadu,Total,78065,value in Thousands,
2036,October,Tamil Nadu,Male,38728,value in Thousands,
2036,October,Tamil Nadu,Female,39337,value in Thousands,
2036,October,Sikkim,Total,761,value in Thousands,
2036,October,Sikkim,Male,399,value in Thousands,
2036,October,Sikkim,Female,362,value in Thousands,
2036,October,Rajasthan,Total,90955,value in Thousands,
2036,October,Rajasthan,Male,46244,value in Thousands,
2036,October,Rajasthan,Female,44711,value in Thousands,
2036,October,Punjab,Total,32725,value in Thousands,
2036,October,Punjab,Male,17086,value in Thousands,
2036,October,Punjab,Female,15639,value in Thousands,
2036,October,Puducherry,Total,2210,value in Thousands,
2036,October,Puducherry,Male,1005,value in Thousands,
2036,October,Puducherry,Female,1205,value in Thousands,
2036,October,Odisha,Total,49115,value in Thousands,
2036,October,Odisha,Male,24582,value in Thousands,
2036,October,Odisha,Female,24533,value in Thousands,
2036,October,Nagaland,Total,2465,value in Thousands,
2036,October,Nagaland,Male,1264,value in Thousands,
2036,October,Nagaland,Female,1201,value in Thousands,
2036,October,Mizoram,Total,1367,value in Thousands,
2036,October,Mizoram,Male,685,value in Thousands,
2036,October,Mizoram,Female,682,value in Thousands,
2036,October,Meghalaya,Total,3697,value in Thousands,
2036,October,Meghalaya,Male,1840,value in Thousands,
2036,October,Meghalaya,Female,1857,value in Thousands,
