Sr. No.,State / Union Territory,Volume (in Mn),Volume Contribution,Value (in Cr.),Value Contribution,Month,Year
1,MAHARASHTRA,1746.49,0.1453,229753.56,0.126,12,2023
2,KARNATAKA,921.02,0.0766,128746.92,0.0706,12,2023
3,UTTAR PRADESH,774.15,0.0644,115581.23,0.0634,12,2023
4,TELANGANA,679.54,0.0565,118318.89,0.0649,12,2023
5,TAMIL NADU,511.92,0.0426,83498.19,0.0458,12,2023
6,RAJASTHAN,458.04,0.0381,74773.6,0.041,12,2023
7,ANDHRA PRADESH,437.75,0.0364,84149.99,0.0462,12,2023
8,MADHYA PRADESH,384.08,0.032,53739.43,0.0295,12,2023
9,DELHI,358.56,0.0298,49607.1,0.0272,12,2023
10,GUJARAT,341.58,0.0284,57762.41,0.0317,12,2023
11,BIHAR,332.74,0.0277,55538.69,0.0305,12,2023
12,WEST BENGAL,303.96,0.0253,53216.78,0.0292,12,2023
13,HARYANA,290.86,0.0242,45897.55,0.0252,12,2023
14,KERALA,273.68,0.0228,39059.74,0.0214,12,2023
15,ODISHA,239.01,0.0199,34650.83,0.019,12,2023
16,PUNJAB,151.53,0.0126,28595.01,0.0157,12,2023
17,JHARKHAND,132.25,0.011,19260.59,0.0106,12,2023
18,ASSAM,117.11,0.0097,17256.71,0.0095,12,2023
19,CHHATTISGARH,106.17,0.0088,14542.44,0.008,12,2023
20,UTTARAKHAND,82.74,0.0069,11377.31,0.0062,12,2023
21,HIMACHAL PRADESH,42.16,0.0035,5760.84,0.0032,12,2023
22,JAMMU AND KASHMIR,39.71,0.0033,6135.21,0.0034,12,2023
23,GOA,27.96,0.0023,4110.01,0.0023,12,2023
24,CHANDIGARH,20.47,0.0017,2737.91,0.0015,12,2023
25,PUDUCHERRY,12.87,0.0011,1834.69,0.001,12,2023
26,ARUNACHAL PRADESH,11.55,0.001,1937.35,0.0011,12,2023
27,TRIPURA,8.26,0.0007,1381.1,0.0008,12,2023
28,DADRA & NAGAR HAVELI & DAMAN & DIU,8.22,0.0007,907.49,0.0005,12,2023
29,MEGHALAYA,7.04,0.0006,1341.47,0.0007,12,2023
30,MANIPUR,5.71,0.0005,1630.29,0.0009,12,2023
