year,month,state,gender,value,unit,note
2036,October,West Bengal,Total,42.67,value in Percentage,
2036,October,West Bengal,Male,43.40,value in Percentage,
2036,October,West Bengal,Female,41.93,value in Percentage,
2036,October,Uttarakhand,Total,42.27,value in Percentage,
2036,October,Uttarakhand,Male,43.67,value in Percentage,
2036,October,Uttarakhand,Female,40.79,value in Percentage,
2036,October,Uttar Pradesh,Total,25.98,value in Percentage,
2036,October,Uttar Pradesh,Male,26.50,value in Percentage,
2036,October,Uttar Pradesh,Female,25.43,value in Percentage,
2036,October,Tripura,Total,54.57,value in Percentage,
2036,October,Tripura,Male,54.76,value in Percentage,
2036,October,Tripura,Female,54.38,value in Percentage,
2036,October,Telangana,Total,57.77,value in Percentage,
2036,October,Telangana,Male,58.05,value in Percentage,
2036,October,Telangana,Female,57.50,value in Percentage,
2036,October,Tamil Nadu,Total,59.91,value in Percentage,
2036,October,Tamil Nadu,Male,60.38,value in Percentage,
2036,October,Tamil Nadu,Female,59.44,value in Percentage,
2036,October,Sikkim,Total,75.69,value in Percentage,
2036,October,Sikkim,Male,75.53,value in Percentage,
2036,October,Sikkim,Female,75.93,value in Percentage,
2036,October,Rajasthan,Total,28.53,value in Percentage,
2036,October,Rajasthan,Male,29.32,value in Percentage,
2036,October,Rajasthan,Female,27.72,value in Percentage,
2036,October,Punjab,Total,46.84,value in Percentage,
2036,October,Punjab,Male,47.85,value in Percentage,
2036,October,Punjab,Female,45.74,value in Percentage,
2036,October,Puducherry,Total,71.86,value in Percentage,
2036,October,Puducherry,Male,77.39,value in Percentage,
2036,October,Puducherry,Female,67.26,value in Percentage,
2036,October,Odisha,Total,21.40,value in Percentage,
2036,October,Odisha,Male,22.13,value in Percentage,
2036,October,Odisha,Female,20.66,value in Percentage,
2036,October,Nagaland,Total,65.14,value in Percentage,
2036,October,Nagaland,Male,66.59,value in Percentage,
2036,October,Nagaland,Female,63.64,value in Percentage,
2036,October,Mizoram,Total,58.18,value in Percentage,
2036,October,Mizoram,Male,58.11,value in Percentage,
2036,October,Mizoram,Female,58.24,value in Percentage,
2036,October,Meghalaya,Total,21.31,value in Percentage,
2036,October,Meghalaya,Male,21.39,value in Percentage,
2036,October,Meghalaya,Female,21.22,value in Percentage,
2036,October,Manipur,Total,36.08,value in Percentage,
2036,October,Manipur,Male,35.71,value in Percentage,
2036,October,Manipur,Female,36.44,value in Percentage,
2036,October,Maharashtra,Total,52.24,value in Percentage,
2036,October,Maharashtra,Male,52.72,value in Percentage,
2036,October,Maharashtra,Female,51.71,value in Percentage,
2036,October,Madhya Pradesh,Total,30.46,value in Percentage,
2036,October,Madhya Pradesh,Male,31.03,value in Percentage,
2036,October,Madhya Pradesh,Female,29.86,value in Percentage,
2036,October,Lakshadweep,Total,100.0,value in Percentage,
2036,October,Lakshadweep,Male,100.0,value in Percentage,
2036,October,Lakshadweep,Female,100.0,value in Percentage,
2036,October,Ladakh,Total,41.28,value in Percentage,
2036,October,Ladakh,Male,49.26,value in Percentage,
2036,October,Ladakh,Female,31.57,value in Percentage,
2036,October,Kerala,Total,97.09,value in Percentage,
2036,October,Kerala,Male,96.51,value in Percentage,
2036,October,Kerala,Female,97.63,value in Percentage,
2036,October,Karnataka,Total,51.03,value in Percentage,
2036,October,Karnataka,Male,51.27,value in Percentage,
2036,October,Karnataka,Female,50.79,value in Percentage,
2036,October,Jharkhand,Total,28.48,value in Percentage,
2036,October,Jharkhand,Male,29.33,value in Percentage,
2036,October,Jharkhand,Female,27.60,value in Percentage,
2036,October,Jammu and Kashmir,Total,34.09,value in Percentage,
2036,October,Jammu and Kashmir,Male,35.67,value in Percentage,
2036,October,Jammu and Kashmir,Female,32.40,value in Percentage,
2036,October,Himachal Pradesh,Total,10.64,value in Percentage,
2036,October,Himachal Pradesh,Male,11.33,value in Percentage,
2036,October,Himachal Pradesh,Female,9.93,value in Percentage,
2036,October,Haryana,Total,49.92,value in Percentage,
2036,October,Haryana,Male,50.88,value in Percentage,
2036,October,Haryana,Female,48.85,value in Percentage,
2036,October,Gujarat,Total,55.26,value in Percentage,
2036,October,Gujarat,Male,55.84,value in Percentage,
2036,October,Gujarat,Female,54.62,value in Percentage,
2036,October,Goa,Total,88.71,value in Percentage,
2036,October,Goa,Male,90.59,value in Percentage,
2036,October,Goa,Female,86.84,value in Percentage,
2036,October,Delhi,Total,100.0,value in Percentage,
2036,October,Delhi,Male,100.0,value in Percentage,
2036,October,Delhi,Female,100.0,value in Percentage,
2036,October,Daman and Diu,Total,99.35,value in Percentage,
2036,October,Daman and Diu,Male,99.35,value in Percentage,
2036,October,Daman and Diu,Female,99.36,value in Percentage,
2036,October,Dadra and Nagar Haveli,Total,80.95,value in Percentage,
2036,October,Dadra and Nagar Haveli,Male,72.42,value in Percentage,
2036,October,Dadra and Nagar Haveli,Female,97.85,value in Percentage,
2036,October,Chhattisgarh,Total,31.46,value in Percentage,
2036,October,Chhattisgarh,Male,32.11,value in Percentage,
2036,October,Chhattisgarh,Female,30.82,value in Percentage,
2036,October,Chandigarh,Total,100.0,value in Percentage,
2036,October,Chandigarh,Male,100.0,value in Percentage,
2036,October,Chandigarh,Female,100.0,value in Percentage,
2036,October,Bihar,Total,13.33,value in Percentage,
2036,October,Bihar,Male,13.61,value in Percentage,
2036,October,Bihar,Female,13.03,value in Percentage,
2036,October,Assam,Total,17.23,value in Percentage,
2036,October,Assam,Male,17.51,value in Percentage,
2036,October,Assam,Female,16.96,value in Percentage,
2036,October,Arunachal Pradesh,Total,28.70,value in Percentage,
2036,October,Arunachal Pradesh,Male,29.73,value in Percentage,
2036,October,Arunachal Pradesh,Female,27.64,value in Percentage,
2036,October,Andhra Pradesh,Total,45.13,value in Percentage,
2036,October,Andhra Pradesh,Male,45.59,value in Percentage,
2036,October,Andhra Pradesh,Female,44.66,value in Percentage,
2036,October,Andaman and Nicobar Islands,Total,51.83,value in Percentage,
2036,October,Andaman and Nicobar Islands,Male,52.76,value in Percentage,
2036,October,Andaman and Nicobar Islands,Female,50.81,value in Percentage,
2036,October,All India,Total,39.22,value in Percentage,
2036,October,All India,Male,39.76,value in Percentage,
2036,October,All India,Female,38.66,value in Percentage,
2036,March,West Bengal,Total,42.41,value in Percentage,
2036,March,West Bengal,Male,43.12,value in Percentage,
2036,March,West Bengal,Female,41.69,value in Percentage,
2036,March,Uttarakhand,Total,42.00,value in Percentage,
2036,March,Uttarakhand,Male,43.39,value in Percentage,
2036,March,Uttarakhand,Female,40.52,value in Percentage,
2036,March,Uttar Pradesh,Total,25.90,value in Percentage,
2036,March,Uttar Pradesh,Male,26.41,value in Percentage,
2036,March,Uttar Pradesh,Female,25.36,value in Percentage,
2036,March,Tripura,Total,53.89,value in Percentage,
2036,March,Tripura,Male,54.06,value in Percentage,
2036,March,Tripura,Female,53.72,value in Percentage,
2036,March,Telangana,Total,57.32,value in Percentage,
2036,March,Telangana,Male,57.59,value in Percentage,
2036,March,Telangana,Female,57.06,value in Percentage,
2036,March,Tamil Nadu,Total,59.63,value in Percentage,
2036,March,Tamil Nadu,Male,60.09,value in Percentage,
2036,March,Tamil Nadu,Female,59.19,value in Percentage,
2036,March,Sikkim,Total,74.61,value in Percentage,
2036,March,Sikkim,Male,74.43,value in Percentage,
2036,March,Sikkim,Female,74.87,value in Percentage,
2036,March,Rajasthan,Total,28.45,value in Percentage,
2036,March,Rajasthan,Male,29.23,value in Percentage,
2036,March,Rajasthan,Female,27.64,value in Percentage,
2036,March,Punjab,Total,46.63,value in Percentage,
2036,March,Punjab,Male,47.62,value in Percentage,
2036,March,Punjab,Female,45.54,value in Percentage,
2036,March,Puducherry,Total,71.81,value in Percentage,
2036,March,Puducherry,Male,77.18,value in Percentage,
2036,March,Puducherry,Female,67.32,value in Percentage,
2036,March,Odisha,Total,21.28,value in Percentage,
2036,March,Odisha,Male,22.01,value in Percentage,
2036,March,Odisha,Female,20.56,value in Percentage,
