fiscal_year,base_year,state,constant_prices,current_prices,unit
2024-25,2011-12,Andaman and Nicobar Islands,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Andhra Pradesh,78199106.00,146991398.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Arunachal Pradesh,,4103195.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Assam,32321829.00,58800142.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Bihar,51323272.00,96202133.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Chandigarh,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Chhattisgarh,30725381.00,53325523.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Delhi,62242577.00,108075513.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Goa,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Gujarat,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Haryana,60409105.00,106652512.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Himachal Pradesh,13724746.00,21339469.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Jammu and Kashmir,12855280.00,23880460.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Jharkhand,27778214.00,47169408.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Karnataka,141496007.00,262875954.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Kerala,60566541.00,111595026.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Ladakh,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Madhya Pradesh,66284519.00,143521058.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Maharashtra,230759533.00,393106807.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Manipur,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Meghalaya,2970025.00,5373034.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Mizoram,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Nagaland,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Odisha,46719497.00,78707435.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Puducherry,2606352.00,4637476.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Punjab,47479995.00,76332587.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Rajasthan,82198678.00,157044651.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Sikkim,,,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Tamil Nadu,154155130.00,289269159.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Telangana,75539162.00,151743182.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Tripura,4772684.00,8567833.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Uttar Pradesh,150827237.00,274455105.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,Uttarakhand,20274176.00,34512947.00,"constant_prices, current_prices in rupees lakh"
2024-25,2011-12,West Bengal,93134253.00,171902427.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Andaman and Nicobar Islands,750646.00,1154608.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Andhra Pradesh,72170399.00,131558890.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Arunachal Pradesh,1876834.00,3622505.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Assam,29808579.00,52070489.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Bihar,47278565.00,85087853.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Chandigarh,3541494.00,5834066.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Chhattisgarh,28656137.00,48159927.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Delhi,58539989.00,98827846.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Goa,5770189.00,9728886.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Gujarat,,,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Haryana,56152848.00,95993406.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Himachal Pradesh,12993690.00,19666467.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Jammu and Kashmir,12115793.00,21682635.00,"constant_prices, current_prices in rupees lakh"
