fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2025-26,2026,March,Jammu and Kashmir,GST collected from State,CGST,160.29,amount in rupees crores,
2025-26,2026,March,Himachal Pradesh,GST collected from State,CGST,188.07,amount in rupees crores,
2025-26,2026,March,Punjab,GST collected from State,CGST,652.51,amount in rupees crores,
2025-26,2026,March,Chandigarh,GST collected from State,CGST,55.37,amount in rupees crores,
2025-26,2026,March,Uttarakhand,GST collected from State,CGST,327.37,amount in rupees crores,
2025-26,2026,March,Haryana,GST collected from State,CGST,1618.33,amount in rupees crores,
2025-26,2026,March,Delhi,GST collected from State,CGST,1336.47,amount in rupees crores,
2025-26,2026,March,Rajasthan,GST collected from State,CGST,1338.19,amount in rupees crores,
2025-26,2026,March,Uttar Pradesh,GST collected from State,CGST,2671.85,amount in rupees crores,
2025-26,2026,March,Bihar,GST collected from State,CGST,470.26,amount in rupees crores,
2025-26,2026,March,Sikkim,GST collected from State,CGST,44.28,amount in rupees crores,
2025-26,2026,March,Arunachal Pradesh,GST collected from State,CGST,71.3,amount in rupees crores,
2025-26,2026,March,Nagaland,GST collected from State,CGST,33.08,amount in rupees crores,
2025-26,2026,March,Manipur,GST collected from State,CGST,29.72,amount in rupees crores,
2025-26,2026,March,Mizoram,GST collected from State,CGST,26.19,amount in rupees crores,
2025-26,2026,March,Tripura,GST collected from State,CGST,70.27,amount in rupees crores,
2025-26,2026,March,Meghalaya,GST collected from State,CGST,51.61,amount in rupees crores,
2025-26,2026,March,Assam,GST collected from State,CGST,450.73,amount in rupees crores,
2025-26,2026,March,West Bengal,GST collected from State,CGST,1931.46,amount in rupees crores,
2025-26,2026,March,Jharkhand,GST collected from State,CGST,723.59,amount in rupees crores,
2025-26,2026,March,Odisha,GST collected from State,CGST,1468.04,amount in rupees crores,
2025-26,2026,March,Chhattisgarh,GST collected from State,CGST,786.65,amount in rupees crores,
2025-26,2026,March,Madhya Pradesh,GST collected from State,CGST,1151.75,amount in rupees crores,
2025-26,2026,March,Gujarat,GST collected from State,CGST,3741.84,amount in rupees crores,
2025-26,2026,March,Daman and Diu,GST collected from State,CGST,0.06,amount in rupees crores,
2025-26,2026,March,Dadra and Nagar Haveli,GST collected from State,CGST,55.31,amount in rupees crores,
2025-26,2026,March,Maharashtra,GST collected from State,CGST,9961.95,amount in rupees crores,
2025-26,2026,March,Karnataka,GST collected from State,CGST,3631.66,amount in rupees crores,
2025-26,2026,March,Goa,GST collected from State,CGST,199.82,amount in rupees crores,
2025-26,2026,March,Lakshadweep,GST collected from State,CGST,1.6,amount in rupees crores,
2025-26,2026,March,Kerala,GST collected from State,CGST,1173.14,amount in rupees crores,
2025-26,2026,March,Tamil Nadu,GST collected from State,CGST,3253.21,amount in rupees crores,
2025-26,2026,March,Puducherry,GST collected from State,CGST,35.45,amount in rupees crores,
2025-26,2026,March,Andaman and Nicobar Islands,GST collected from State,CGST,23.88,amount in rupees crores,
2025-26,2026,March,Telangana,GST collected from State,CGST,1801.96,amount in rupees crores,
2025-26,2026,March,Andhra Pradesh,GST collected from State,CGST,956.07,amount in rupees crores,
2025-26,2026,March,Ladakh,GST collected from State,CGST,15.18,amount in rupees crores,
2025-26,2026,March,Other Territory,GST collected from State,CGST,40.58,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,March,OIDAR,GST collected from State,CGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,March,Jammu and Kashmir,GST collected from State,SGST,206.51,amount in rupees crores,
2025-26,2026,March,Himachal Pradesh,GST collected from State,SGST,244.37,amount in rupees crores,
2025-26,2026,March,Punjab,GST collected from State,SGST,887.73,amount in rupees crores,
2025-26,2026,March,Chandigarh,GST collected from State,SGST,67.38,amount in rupees crores,
2025-26,2026,March,Uttarakhand,GST collected from State,SGST,457.6,amount in rupees crores,
2025-26,2026,March,Haryana,GST collected from State,SGST,2040.38,amount in rupees crores,
2025-26,2026,March,Delhi,GST collected from State,SGST,1582.77,amount in rupees crores,
2025-26,2026,March,Rajasthan,GST collected from State,SGST,2238.77,amount in rupees crores,
2025-26,2026,March,Uttar Pradesh,GST collected from State,SGST,3344.9,amount in rupees crores,
2025-26,2026,March,Bihar,GST collected from State,SGST,1758.11,amount in rupees crores,
2025-26,2026,March,Sikkim,GST collected from State,SGST,54.48,amount in rupees crores,
