fiscal_year,state,region,gender,unemployment_rate,unit,note
2025,Andhra Pradesh,Rural,Male,4.3,unemployment_rate in percentage,
2025,Andhra Pradesh,Rural,Female,3.4,unemployment_rate in percentage,
2025,Andhra Pradesh,Rural,Person,4,unemployment_rate in percentage,
2025,Andhra Pradesh,Urban,Male,5.8,unemployment_rate in percentage,
2025,Andhra Pradesh,Urban,Female,8.2,unemployment_rate in percentage,
2025,Andhra Pradesh,Urban,Person,6.5,unemployment_rate in percentage,
2025,Andhra Pradesh,Rural+Urban,Male,4.8,unemployment_rate in percentage,
2025,Andhra Pradesh,Rural+Urban,Female,4.7,unemployment_rate in percentage,
2025,Andhra Pradesh,Rural+Urban,Person,4.8,unemployment_rate in percentage,
2025,Arunachal Pradesh,Rural,Male,4.2,unemployment_rate in percentage,
2025,Arunachal Pradesh,Rural,Female,6.2,unemployment_rate in percentage,
2025,Arunachal Pradesh,Rural,Person,5.1,unemployment_rate in percentage,
2025,Arunachal Pradesh,Urban,Male,14.3,unemployment_rate in percentage,
2025,Arunachal Pradesh,Urban,Female,18.8,unemployment_rate in percentage,
2025,Arunachal Pradesh,Urban,Person,15.8,unemployment_rate in percentage,
2025,Arunachal Pradesh,Rural+Urban,Male,6.1,unemployment_rate in percentage,
2025,Arunachal Pradesh,Rural+Urban,Female,7.8,unemployment_rate in percentage,
2025,Arunachal Pradesh,Rural+Urban,Person,6.8,unemployment_rate in percentage,
2025,Assam,Rural,Male,3.5,unemployment_rate in percentage,
2025,Assam,Rural,Female,4.6,unemployment_rate in percentage,
2025,Assam,Rural,Person,3.8,unemployment_rate in percentage,
2025,Assam,Urban,Male,5.2,unemployment_rate in percentage,
2025,Assam,Urban,Female,11.9,unemployment_rate in percentage,
2025,Assam,Urban,Person,7,unemployment_rate in percentage,
2025,Assam,Rural+Urban,Male,3.7,unemployment_rate in percentage,
2025,Assam,Rural+Urban,Female,5.3,unemployment_rate in percentage,
2025,Assam,Rural+Urban,Person,4.2,unemployment_rate in percentage,
2025,Bihar,Rural,Male,3.6,unemployment_rate in percentage,
2025,Bihar,Rural,Female,2.9,unemployment_rate in percentage,
2025,Bihar,Rural,Person,3.4,unemployment_rate in percentage,
2025,Bihar,Urban,Male,9.4,unemployment_rate in percentage,
2025,Bihar,Urban,Female,20.8,unemployment_rate in percentage,
2025,Bihar,Urban,Person,10.9,unemployment_rate in percentage,
2025,Bihar,Rural+Urban,Male,4.2,unemployment_rate in percentage,
2025,Bihar,Rural+Urban,Female,4.2,unemployment_rate in percentage,
2025,Bihar,Rural+Urban,Person,4.2,unemployment_rate in percentage,
2025,Chhattisgarh,Rural,Male,2.2,unemployment_rate in percentage,
2025,Chhattisgarh,Rural,Female,1.7,unemployment_rate in percentage,
2025,Chhattisgarh,Rural,Person,2,unemployment_rate in percentage,
2025,Chhattisgarh,Urban,Male,4.7,unemployment_rate in percentage,
2025,Chhattisgarh,Urban,Female,7,unemployment_rate in percentage,
2025,Chhattisgarh,Urban,Person,5.4,unemployment_rate in percentage,
2025,Chhattisgarh,Rural+Urban,Male,2.7,unemployment_rate in percentage,
2025,Chhattisgarh,Rural+Urban,Female,2.3,unemployment_rate in percentage,
2025,Chhattisgarh,Rural+Urban,Person,2.5,unemployment_rate in percentage,
2025,Delhi,Rural,Male,3,unemployment_rate in percentage,
2025,Delhi,Rural,Female,3.3,unemployment_rate in percentage,
2025,Delhi,Rural,Person,3.1,unemployment_rate in percentage,
2025,Delhi,Urban,Male,5.8,unemployment_rate in percentage,
2025,Delhi,Urban,Female,7.6,unemployment_rate in percentage,
2025,Delhi,Urban,Person,6,unemployment_rate in percentage,
2025,Delhi,Rural+Urban,Male,5.7,unemployment_rate in percentage,
2025,Delhi,Rural+Urban,Female,7.5,unemployment_rate in percentage,
2025,Delhi,Rural+Urban,Person,5.9,unemployment_rate in percentage,
2025,Goa,Rural,Male,12.1,unemployment_rate in percentage,
2025,Goa,Rural,Female,11.8,unemployment_rate in percentage,
2025,Goa,Rural,Person,12,unemployment_rate in percentage,
2025,Goa,Urban,Male,6.6,unemployment_rate in percentage,
2025,Goa,Urban,Female,4.8,unemployment_rate in percentage,
2025,Goa,Urban,Person,6.2,unemployment_rate in percentage,
2025,Goa,Rural+Urban,Male,8.6,unemployment_rate in percentage,
2025,Goa,Rural+Urban,Female,7.4,unemployment_rate in percentage,
2025,Goa,Rural+Urban,Person,8.3,unemployment_rate in percentage,
2025,Gujarat,Rural,Male,1.2,unemployment_rate in percentage,
2025,Gujarat,Rural,Female,0.5,unemployment_rate in percentage,
2025,Gujarat,Rural,Person,0.9,unemployment_rate in percentage,
2025,Gujarat,Urban,Male,1.5,unemployment_rate in percentage,
2025,Gujarat,Urban,Female,2.1,unemployment_rate in percentage,
2025,Gujarat,Urban,Person,1.6,unemployment_rate in percentage,
2025,Gujarat,Rural+Urban,Male,1.3,unemployment_rate in percentage,
2025,Gujarat,Rural+Urban,Female,1,unemployment_rate in percentage,
2025,Gujarat,Rural+Urban,Person,1.2,unemployment_rate in percentage,
2025,Haryana,Rural,Male,4,unemployment_rate in percentage,
2025,Haryana,Rural,Female,2.8,unemployment_rate in percentage,
2025,Haryana,Rural,Person,3.7,unemployment_rate in percentage,
2025,Haryana,Urban,Male,5.6,unemployment_rate in percentage,
2025,Haryana,Urban,Female,6.4,unemployment_rate in percentage,
2025,Haryana,Urban,Person,5.7,unemployment_rate in percentage,
2025,Haryana,Rural+Urban,Male,4.7,unemployment_rate in percentage,
2025,Haryana,Rural+Urban,Female,4.1,unemployment_rate in percentage,
2025,Haryana,Rural+Urban,Person,4.6,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural,Male,7.2,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural,Female,8.3,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural,Person,7.7,unemployment_rate in percentage,
2025,Himachal Pradesh,Urban,Male,6.9,unemployment_rate in percentage,
2025,Himachal Pradesh,Urban,Female,19.5,unemployment_rate in percentage,
2025,Himachal Pradesh,Urban,Person,10.9,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural+Urban,Male,7.2,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural+Urban,Female,9.2,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural+Urban,Person,8.1,unemployment_rate in percentage,
2025,Jharkhand,Rural,Male,3.1,unemployment_rate in percentage,
2025,Jharkhand,Rural,Female,1.3,unemployment_rate in percentage,
2025,Jharkhand,Rural,Person,2.5,unemployment_rate in percentage,
2025,Jharkhand,Urban,Male,7.9,unemployment_rate in percentage,
2025,Jharkhand,Urban,Female,15.5,unemployment_rate in percentage,
2025,Jharkhand,Urban,Person,9.2,unemployment_rate in percentage,
2025,Jharkhand,Rural+Urban,Male,4.1,unemployment_rate in percentage,
2025,Jharkhand,Rural+Urban,Female,2.7,unemployment_rate in percentage,
2025,Jharkhand,Rural+Urban,Person,3.7,unemployment_rate in percentage,
